CMD	ALL	ARCH	REDHAT	DEBIAN	BSD
gcc	gcc
	arandr
	astyle
	beep
	bison
snake	bsd-games
crontab	cronie
	ctags
	dialog
	diction
	diffstat
diff	diffutils
	dos2unix
	elinks
	eog
	feh
	figlet
	file
find	findutils
	flex
	gawk
	gbdfed
	gettext
	gnome-keyring
	gnumeric
	graphviz
	grep
	gzip
	highlight
	html2text
	htop
	httperf
	httpie
	iftop
	iotop
ping	iputils
	keychain
	less
	logrotate
	lxappearance
man	man-db
locate	mlocate
mongo	mongodb
	monit
	mutt
	nano
	ncdu
	nethack
	nginx
	parcellite
	patch
	pcmanfm
	perl
	phantomjs
	rlwrap
	rogue
	rsync
	sed
	shadow
	shutter
	sl
	source-highlight
	sqlite
	tar
	thunar
	tig
	tmux
	transmission-gtk
	tree
	w3m
	which
	whois
	xclip
xosd_cat	xosd
	xpdf
	xterm
	zip
sndfile-play	libsndfile
	discount
	firefox
ncal		bsdmainutils
		chromium
		chruby
		chuck
		command-not-found	PackageKit-command-not-found
fortune		ffmpeg
fortune		fortune-mod-chucknorris
fortune		fortune-mod-vimtips
gol		growl-for-linux
javac		jdk7-openjdk	java-1.7.0-openjdk
		jshon
		jsmin
		lesspipe
		littler
		markdown
		mimeo
		miniaudicle
		pacgem
		pacman
		pacmixer
		pamixer
		pipemeter
		proggyfonts
		roll
		rolldice
pry		ruby-pry	rubygem-pry
ronn		ruby-ronn	rubygem-ronn
		rxvt-unicode	rxvt-unicode-256color
		rxvt-unicode-256xresources
		sgrep
shellex		shellex-git
		shuffle
		tamsyn-font
		tamsynmod
		tamzen-font-git
		termsyn
		toilet
		toilet-fonts
		unrar-free	unrar
		urxvt-font-size-git
		urxvt-perls-git
		urxvt-tabbedex-git
		urxvtcd
versionary		versionary-git
		xtermcontrol
		zork1
		zsh-completions
		zsh-syntax-highlighting
		zshdb
